ID,Reached.on.Time_Y.N
6811,0
4320,0
5732,0
7429,1
2191,1
8618,0
3311,0
7221,0
3291,0
9115,0
9396,1
663,1
6124,0
536,1
7082,0
7699,0
8651,1
8475,0
890,1
6596,1
3501,0
7751,0
10896,0
6343,0
3456,0
9417,0
9086,0
2043,1
1940,1
1347,1
6754,1
427,1
9503,0
9594,0
1385,1
9641,1
1818,1
7656,0
2805,1
6288,0
9003,0
4759,1
9576,1
6448,1
5603,0
891,1
5741,1
9305,0
1785,1
9603,0
5443,0
5328,0
3765,0
5627,1
2939,1
2029,1
5868,0
7647,1
8513,0
7865,0
8186,0
10050,0
4693,1
4560,0
7775,0
9504,0
10480,0
2480,1
1918,1
10685,0
9406,1
7419,1
10895,0
9455,0
2969,1
6935,1
8427,0
8985,0
4318,1
515,1
4553,0
4935,1
1161,1
10574,0
1757,1
671,1
6335,0
10290,1
491,1
9866,0
2672,1
823,1
9469,0
4672,0
5762,1
2472,1
4522,0
10447,0
8239,1
5119,0
8126,0
6760,0
7311,0
4407,1
3295,0
1066,1
6055,0
5978,1
1346,1
1762,1
3967,1
4587,0
8148,0
3657,0
1516,1
4397,0
4564,1
727,1
5180,0
4233,1
6924,0
8725,0
7969,0
3607,1
393,1
9330,0
8392,0
4051,0
10077,0
4482,0
4443,0
7554,0
7048,0
7551,0
5320,1
3581,0
2341,1
3653,1
2279,1
2877,1
10310,0
5088,1
10434,1
5643,0
9754,0
6638,0
1838,1
9138,1
10556,0
7133,1
6033,0
7506,1
6840,1
399,1
7741,0
1492,1
559,1
7076,1
873,1
7500,1
7108,0
8387,1
3051,1
5525,1
9615,0
2503,1
8495,1
7574,0
2772,1
8405,0
6217,0
2920,1
417,1
8251,0
2462,1
10438,0
8474,0
3324,0
4428,1
7211,0
681,1
9870,0
9541,0
10184,0
8064,0
10615,0
98,1
4567,0
4380,0
4892,0
506,1
9436,0
9965,0
479,1
2222,1
516,1
6959,1
3225,1
2315,1
6376,0
8840,1
7546,0
3476,0
4623,0
3001,1
566,1
7872,0
8108,0
8173,0
8343,0
2457,1
6826,0
3656,0
7689,0
6074,0
3076,1
5678,1
1493,1
10109,1
2389,1
5282,1
10142,0
6361,0
9889,0
1353,1
857,1
2167,1
73,1
408,1
3971,0
9334,0
3315,1
6964,0
2737,1
907,1
8762,0
10591,0
1994,1
6120,1
2179,1
7971,0
4706,1
9034,0
7651,1
2542,1
1666,1
4833,0
6049,1
8650,0
2899,1
5644,1
8178,0
8197,0
8668,1
1182,1
5138,0
8579,1
8761,0
5005,0
5655,1
7226,0
2660,1
3811,0
5408,0
8466,0
8519,0
5152,0
7680,0
7669,1
4555,0
10263,0
2651,1
8131,1
9661,1
331,1
7368,0
3144,1
2484,1
3630,0
4956,0
5675,0
7019,0
250,1
861,1
4176,0
9029,0
10708,0
2477,1
10842,0
6325,0
647,1
8515,0
2150,1
3415,0
9488,1
8357,1
4140,0
2948,1
8379,0
4348,0
215,1
4122,1
3538,1
2717,1
2182,1
1734,1
10533,0
7328,0
6888,0
8596,1
4461,1
2922,1
2593,1
5530,0
6449,0
9899,1
10010,0
469,1
1687,1
1035,1
1865,1
9449,0
261,1
5934,0
8230,0
1464,1
2336,1
10360,0
8692,0
9395,0
4611,0
6254,0
6991,1
7713,0
10780,0
3695,0
2128,1
8395,0
6630,0
3687,0
10769,0
2490,1
1999,1
2355,1
1216,1
8394,1
9950,0
8627,0
1904,1
7360,0
3297,0
2753,1
4925,1
5335,0
4904,0
2705,1
9309,0
5157,1
4341,0
8234,0
5250,1
9175,0
4467,0
3249,1
3042,1
3421,1
6155,0
27,1
9202,1
9654,1
583,1
210,1
8778,0
3223,0
9454,0
3859,0
9325,0
5014,1
5902,1
10664,1
7075,0
3740,0
8836,0
7145,0
1977,1
7933,0
3279,1
4563,1
7104,0
8434,0
4003,1
8817,0
3121,1
9778,0
8341,0
5016,1
4392,0
1259,1
1359,1
7679,0
3186,0
186,1
21,1
2188,1
1174,1
9936,1
403,1
1809,1
4139,0
6929,1
9826,0
6934,0
715,1
4816,1
7174,0
8069,1
1008,1
3515,0
1946,1
6973,0
3158,1
6975,0
10405,1
7016,1
3040,1
6293,0
10697,0
9412,0
2312,1
7269,0
7490,1
9338,0
1995,1
5887,0
3535,1
1971,1
2450,1
748,1
4090,1
6981,0
4491,0
6613,0
4826,0
5571,0
9049,0
1080,1
10673,1
5879,0
5862,0
511,1
2453,1
10485,1
6816,0
3199,1
6637,0
265,1
7690,0
224,1
9002,0
8620,0
1133,1
5680,0
1949,1
5677,0
7501,1
6201,0
6859,0
7234,1
8351,1
8846,0
8339,0
8096,1
5544,0
7448,0
7515,1
6656,0
863,1
3514,0
4308,0
9680,0
9336,0
195,1
7734,1
8767,1
4163,1
3685,0
1744,1
496,1
9519,0
9573,0
9027,0
1417,1
5493,0
5612,1
2166,1
9793,0
6792,1
9143,0
6645,0
9123,0
8171,0
1256,1
2881,1
9769,0
8340,0
6682,1
3613,0
4961,1
7548,0
4507,0
1190,1
9227,0
8683,0
6208,0
548,1
4747,0
10585,0
969,1
9828,0
6088,0
2539,1
5485,0
4415,1
1286,1
8636,0
4259,0
800,1
2016,1
2288,1
5183,0
7851,0
10744,0
1434,1
7620,0
5248,0
3801,1
6906,0
2612,1
3864,0
8028,1
10137,0
4982,0
1260,1
9341,0
7454,1
9624,0
7206,0
9515,1
4834,0
1101,1
5524,0
5395,1
2297,1
8906,0
10946,1
6937,0
1868,1
837,1
3710,0
9082,0
1500,1
6291,0
5679,0
6340,0
8830,1
2146,1
8225,0
10717,1
8783,1
4394,1
3102,1
10126,0
1579,1
852,1
6014,0
8147,0
7570,0
6163,0
10068,1
825,1
3143,1
6898,1
8016,1
1702,1
2551,1
6087,0
6241,1
87,1
2102,1
1262,1
7065,0
624,1
1077,1
4241,1
8681,0
6636,0
10918,0
6696,0
3978,1
3684,1
7014,0
7409,1
6113,0
6063,0
9638,1
1953,1
4442,0
8202,0
10302,0
7285,0
6988,0
5351,0
9250,0
1064,1
5245,0
2071,1
7866,0
4993,0
7773,0
10163,1
505,1
7250,1
2874,1
1399,1
8000,1
4622,1
958,1
9109,0
1119,1
413,1
10073,0
5303,0
3730,0
4783,0
2381,1
7137,0
3865,0
5830,1
7717,0
7926,0
7528,0
8322,0
2701,1
5185,0
347,1
5683,1
10250,0
7638,0
8249,0
5809,0
230,1
7089,0
7182,1
2375,1
10524,1
2552,1
