,12-31-2020,12-31-2020,12-31-2021,12-31-2021
,Confirmed,Deaths,Confirmed,Deaths
Country_Region,,,,
Afghanistan,52330.0,2189.0,105754.0,5167.0
Albania,58316.0,1181.0,151908.0,2036.0
Algeria,99610.0,2756.0,118822.0,3520.0
Andorra,8049.0,84.0,15691.0,56.0
Angola,17553.0,405.0,64040.0,1365.0
Antarctica,0.0,0.0,11.0,0.0
Antigua and Barbuda,159.0,5.0,4124.0,114.0
Argentina,1625514.0,43245.0,4028894.0,73924.0
Armenia,159409.0,2823.0,185521.0,5149.0
Australia,28425.0,909.0,397071.0,1344.0
Austria,356063.0,7486.0,914748.0,9329.0
Azerbaijan,218700.0,2641.0,398247.0,5717.0
Bahamas,7871.0,170.0,16605.0,547.0
Bahrain,92675.0,352.0,189387.0,1042.0
Bangladesh,513510.0,7559.0,1072029.0,20513.0
Barbados,383.0,7.0,28182.0,253.0
Belarus,194284.0,1424.0,504826.0,4154.0
Belgium,646496.0,19528.0,1458847.0,8803.0
Belize,10776.0,248.0,22064.0,354.0
Benin,3251.0,44.0,21684.0,117.0
Bhutan,670.0,0.0,1990.0,3.0
Bolivia,160124.0,9165.0,439629.0,10515.0
Bosnia and Herzegovina,110985.0,4050.0,180328.0,9392.0
Botswana,14805.0,42.0,204704.0,2402.0
Brazil,7681032.0,195072.0,14610807.0,424262.0
Brunei,157.0,3.0,15313.0,95.0
Bulgaria,202266.0,7576.0,544842.0,23379.0
Burkina Faso,6707.0,85.0,10925.0,233.0
Burma,124630.0,2682.0,406204.0,16586.0
Burundi,818.0,2.0,26548.0,36.0
Cabo Verde,11840.0,113.0,29892.0,239.0
Cambodia,378.0,0.0,120115.0,3012.0
Cameroon,26277.0,448.0,83090.0,1403.0
Canada,590249.0,15736.0,1633486.0,14584.0
Central African Republic,4963.0,63.0,7200.0,38.0
Chad,2113.0,104.0,3590.0,77.0
Chile,608973.0,16608.0,1197521.0,22507.0
China,102571.0,4782.0,25325.0,67.0
Colombia,1642775.0,43213.0,3514665.0,86729.0
Comoros,823.0,10.0,5692.0,147.0
Congo (Brazzaville),7107.0,108.0,12982.0,259.0
Congo (Kinshasa),17658.0,591.0,57135.0,614.0
Costa Rica,169321.0,2185.0,401235.0,5168.0
Cote d'Ivoire,22490.0,137.0,48514.0,577.0
Croatia,210837.0,3920.0,504408.0,8618.0
Cuba,11863.0,146.0,954141.0,8176.0
Cyprus,22346.0,120.0,144481.0,518.0
Czechia,718661.0,11580.0,1757068.0,24549.0
Denmark,164116.0,1298.0,646656.0,1984.0
Diamond Princess,712.0,13.0,0.0,0.0
Djibouti,5831.0,61.0,7825.0,128.0
Dominica,88.0,0.0,6726.0,47.0
Dominican Republic,170785.0,2414.0,247993.0,1833.0
Ecuador,212512.0,14034.0,336906.0,19647.0
Egypt,138062.0,7631.0,247513.0,14121.0
El Salvador,46242.0,1327.0,75703.0,2497.0
Equatorial Guinea,5277.0,86.0,8433.0,89.0
Eritrea,1320.0,3.0,6691.0,73.0
Estonia,27990.0,229.0,213418.0,1703.0
Eswatini,9358.0,205.0,56751.0,1098.0
Ethiopia,124264.0,1923.0,296078.0,5014.0
Fiji,49.0,2.0,53283.0,696.0
Finland,36422.0,592.0,234407.0,1122.0
France,2677656.0,64758.0,7400127.0,59971.0
Gabon,9571.0,64.0,32227.0,224.0
Gambia,3797.0,124.0,6373.0,219.0
Georgia,227420.0,2505.0,707321.0,11295.0
Germany,1746929.0,33791.0,5446257.0,78320.0
Ghana,54771.0,335.0,88215.0,960.0
Greece,138850.0,4838.0,1072003.0,15952.0
Grenada,127.0,0.0,6054.0,200.0
Guatemala,138012.0,4813.0,490347.0,11294.0
Guinea,13722.0,81.0,18329.0,310.0
Guinea-Bissau,2452.0,45.0,4032.0,104.0
Guyana,6332.0,164.0,33241.0,890.0
Haiti,9999.0,236.0,15986.0,530.0
Holy See,27.0,0.0,0.0,0.0
Honduras,121827.0,3130.0,257575.0,7303.0
Hungary,322514.0,9537.0,933901.0,29649.0
Iceland,5754.0,29.0,21305.0,8.0
India,10286709.0,148994.0,24574870.0,332492.0
Indonesia,743198.0,22138.0,3519522.0,121956.0
Iran,1225142.0,55223.0,4969259.0,76383.0
Iraq,595291.0,12813.0,1498449.0,11345.0
Ireland,91779.0,2237.0,696780.0,3675.0
Israel,423262.0,3325.0,960670.0,4918.0
Italy,2107166.0,74159.0,4018517.0,63243.0
Jamaica,12827.0,302.0,81093.0,2171.0
Japan,235749.0,3492.0,1496547.0,14897.0
Jordan,294494.0,3834.0,768911.0,8819.0
