"","Country_Region","Confirmed.x","Deaths.x","MeanConfirmed","MeanDeaths","missC","missD","nullC","nullD","Confirmed.y","Deaths.y","T_Mean_C","T_Mean_D"
"1","US",34645729,475132,94919.81,1301.73,0,0,0,0,34645729,475132,94919.81,1301.73
"2","Brazil",14610807,424262,40029.61,1162.36,0,0,0,0,14610807,424262,40029.61,1162.36
"3","India",24574870,332492,67328.41,910.94,0,0,0,0,24574870,332492,67328.41,910.94
"4","Russia",7193058,246400,19707.01,675.07,0,0,0,0,7193058,246400,19707.01,675.07
"5","Mexico",2553629,173621,6996.24,475.67,0,0,0,0,2553629,173621,6996.24,475.67
"6","Indonesia",3519522,121956,9642.53,334.13,0,0,0,0,3519522,121956,9642.53,334.13
"7","Peru",1281694,110329,3511.49,303.94,0,2,0,0,1281694,109620,3511.49,300.33
"8","Colombia",3514665,86729,9629.22,237.61,0,0,0,0,3514665,86729,9629.22,237.61
"9","Ukraine",2760229,82807,7562.27,226.87,0,0,0,0,2760229,82807,7562.27,226.87
"10","United Kingdom",10521815,82470,28985.72,225.95,2,0,0,0,10514666,82470,28807.3,225.95
"11","Germany",5447352,78321,15006.48,215.17,2,1,0,0,5446257,78320,14921.25,214.58
"12","Iran",4969259,76383,13614.41,209.27,0,0,0,0,4969259,76383,13614.41,209.27
"13","Argentina",4028894,73924,11038.07,202.53,0,0,0,0,4028894,73924,11038.07,202.53
"14","Poland",2813337,68500,7707.77,187.67,0,0,0,0,2813337,68500,7707.77,187.67
"15","Italy",4018517,63243,11009.64,173.27,0,0,0,0,4018517,63243,11009.64,173.27
"16","South Africa",2401125,62676,6578.42,171.72,0,0,0,0,2401125,62676,6578.42,171.72
"17","Turkey",7273898,61480,19928.49,168.44,0,0,0,0,7273898,61480,19928.49,168.44
"18","France",7748967,59971,21288.37,164.3,1,0,0,0,7400127,59971,20274.32,164.3
"19","Romania",1176628,42985,3223.64,117.77,0,0,0,0,1176628,42985,3223.64,117.77
"20","Philippines",2369926,42260,6510.79,115.78,1,0,0,0,2369915,42260,6492.92,115.78
"21","Spain",4440910,38568,12233.91,105.67,2,0,0,0,4366480,38568,11962.96,105.67
