"","Country_Region","Confirmed.x","Deaths.x","DeathRatio"
"197","Yemen",8027,1374,17.12
"192","Vanuatu",6,1,16.67
"169","Sudan",21031,1863,8.86
"141","Peru",1281694,110329,8.61
"117","Mexico",2553629,173621,6.8
"103","Liberia",4660,301,6.46
"164","Somalia",18818,1203,6.39
"54","Ecuador",337313,19647,5.82
"55","Egypt",247513,14121,5.71
"174","Syria",38844,2186,5.63
"23","Bosnia and Herzegovina",180328,9403,5.21
"175","Taiwan*",16230,843,5.19
"1","Afghanistan",105754,5167,4.89
"27","Bulgaria",544842,23379,4.29
"131","Niger",4082,171,4.19
"29","Burma",406204,16587,4.08
"140","Paraguay",358169,14362,4.01
"133","North Macedonia",141720,5457,3.85
"146","Romania",1176628,42985,3.65
"183","Tunisia",587566,20893,3.56
"82","Indonesia",3519522,121956,3.47
"66","Gambia",6373,219,3.44
"147","Russia",7193058,246400,3.43
"76","Haiti",15986,534,3.34
"56","El Salvador",75703,2497,3.3
"71","Grenada",6054,200,3.3
"13","Bahamas",16653,547,3.28
"182","Trinidad and Tobago",84749,2742,3.24
"109","Malawi",68492,2175,3.18
"79","Hungary",933901,29649,3.17
"119","Moldova",231337,7290,3.15
"186","Ukraine",2760229,82807,3
"3","Algeria",118822,3520,2.96
"25","Brazil",14610807,424262,2.9
"185","Uganda",105521,3049,2.89
"78","Honduras",257575,7304,2.84
"112","Mali",13918,391,2.81
"9","Armenia",185521,5151,2.78
"126","Namibia",124033,3429,2.76
"7","Antigua and Barbuda",4125,114,2.76
"168","Sri Lanka",543946,14775,2.72
"88","Jamaica",81093,2171,2.68
"75","Guyana",33241,890,2.68
"156","Senegal",55915,1480,2.65
"165","South Africa",2401125,62676,2.61
"40","Comoros",5692,147,2.58
"74","Guinea-Bissau",4032,104,2.58
"32","Cambodia",120115,3012,2.51
"177","Tanzania",28797,716,2.49
"39","Colombia",3514665,86729,2.47
"143","Poland",2813337,68500,2.43
"102","Lesotho",25314,614,2.43
"22","Bolivia",439629,10515,2.39
"108","Madagascar",32565,766,2.35
"199","Zimbabwe",199391,4641,2.33
"171","Suriname",46236,1067,2.31
"136","Pakistan",813755,18757,2.3
"72","Guatemala",490347,11297,2.3
